skill_name,route_full,skill_md_exists,frontmatter_yaml_present,approx_size_kb,last_modification,layer,category,description
modal-serverless-gpu,/home/laia/.hermes/skills/mlops/cloud/modal/SKILL.md,yes,yes,29.3,2026-03-31T23:53:28+02:00,backend,cloud,"Serverless GPU cloud platform for running ML workloads. Use when you need on-demand GPU access without infrastructure management, deploying ML models as APIs, or running batch jobs with automatic scaling."
Laia Dario Configuration,/home/laia/.hermes/skills/core/laia-dario-configuration/SKILL.md,yes,yes,13.0,2026-05-06T10:09:43+02:00,service,core,"Configuración integral de Laia - identidad, contexto, herramientas y protocolos operacionales"
ascii-art,/home/laia/.hermes/skills/creative/ascii-art/SKILL.md,yes,yes,10.4,2026-03-31T23:53:28+02:00,frontend,creative,"Generate ASCII art using pyfiglet (571 fonts), cowsay, boxes, toilet, image-to-ascii, remote APIs (asciified, ascii.co.uk), and LLM fallback. No API keys required."
ascii-video,/home/laia/.hermes/skills/creative/ascii-video/SKILL.md,yes,yes,312.8,2026-03-31T23:53:28+02:00,frontend,creative,"Production pipeline for ASCII art video — any format. Converts video/audio/images/generative input into colored ASCII character video output (MP4, GIF, image sequence). Covers: video-to-ASCII conversion, audio-reactive music visualizers, generative ASCII art animations, hybrid video+audio reactive, text/lyrics overlays, real-time terminal rendering. Use when users request: ASCII video, text art video, terminal-style video, character art animation, retro text visualization, audio visualizer in ASCII, converting video to ASCII art, matrix-style effects, or any animated ASCII output."
excalidraw,/home/laia/.hermes/skills/creative/excalidraw/SKILL.md,yes,yes,28.7,2026-03-31T23:53:28+02:00,backend,creative,"Create hand-drawn style diagrams using Excalidraw JSON format. Generate .excalidraw files for architecture diagrams, flowcharts, sequence diagrams, concept maps, and more. Files can be opened at excalidraw.com or uploaded for shareable links."
songwriting-and-ai-music,/home/laia/.hermes/skills/creative/songwriting-and-ai-music/SKILL.md,yes,yes,10.1,2026-03-31T23:53:28+02:00,frontend,creative,>
jupyter-live-kernel,/home/laia/.hermes/skills/data-science/jupyter-live-kernel/SKILL.md,yes,yes,5.4,2026-03-31T23:53:28+02:00,service,data-science,>
webhook-subscriptions,/home/laia/.hermes/skills/devops/webhook-subscriptions/SKILL.md,yes,yes,5.6,2026-03-31T23:53:28+02:00,service,devops,Create and manage webhook subscriptions for event-driven agent activation. Use when the user wants external services to trigger agent runs automatically.
gestion-de-mails-laia,/home/laia/.hermes/skills/email/gestion-de-mails-laia/SKILL.md,yes,yes,6.6,2026-06-10T18:07:53+02:00,frontend,email,"Skill unificada para laia@grid-code.tech: analiza hilos, recupera contexto real, prioriza y redacta respuestas de correo siguiendo el manual de estilo oficial de Grid Code."
gridcode-internal-capability-mail-replies,/home/laia/.hermes/skills/email/gridcode-internal-capability-mail-replies/SKILL.md,yes,yes,4.2,2026-06-10T16:52:10+02:00,service,email,"Build internal-team email replies that expose verified capability links (mailto triggers), auto-select the best trigger, and render a compact HTML block for clickable options."
gridcode-internal-mail-capability-triggers,/home/laia/.hermes/skills/email/gridcode-internal-mail-capability-triggers/SKILL.md,yes,yes,5.5,2026-06-10T16:43:52+02:00,service,email,"Add and maintain a verified internal capability catalog in Grid Code mail replies, using clickable mailto triggers that prefill a follow-up mail to Laia for each supported internal skill."
internal-capability-mail-menu,/home/laia/.hermes/skills/email/internal-capability-mail-menu/SKILL.md,yes,yes,2.0,2026-06-10T17:33:12+02:00,service,email,Build plain-language internal email replies that offer a short menu of verified capabilities without visible links or technical clutter.
mail-cli,/home/laia/.hermes/skills/email/mail-cli/SKILL.md,yes,yes,13.6,2026-06-08T16:49:24+02:00,backend,email,"CLI to manage emails via IMAP/SMTP. Use mail-cli to list, read, write, reply, forward, search, and organize emails from the terminal. Supports multiple accounts and message composition with MML (MIME Meta Language)."
evaluating-llms-harness,/home/laia/.hermes/skills/mlops/evaluation/lm-evaluation-harness/SKILL.md,yes,yes,57.0,2026-03-31T23:53:28+02:00,frontend,evaluation,"Evaluates LLMs across 60+ academic benchmarks (MMLU, HumanEval, GSM8K, TruthfulQA, HellaSwag). Use when benchmarking model quality, comparing models, reporting academic results, or tracking training progress. Industry standard used by EleutherAI, HuggingFace, and major labs. Supports HuggingFace, vLLM, APIs."
weights-and-biases,/home/laia/.hermes/skills/mlops/evaluation/weights-and-biases/SKILL.md,yes,yes,58.4,2026-03-31T23:53:28+02:00,backend,evaluation,"Track ML experiments with automatic logging, visualize training in real-time, optimize hyperparameters with sweeps, and manage model registry with W&B - collaborative MLOps platform"
minecraft-modpack-server,/home/laia/.hermes/skills/gaming/minecraft-modpack-server/SKILL.md,yes,yes,6.5,2026-03-31T23:53:28+02:00,backend,gaming,"Set up a modded Minecraft server from a CurseForge/Modrinth server pack zip. Covers NeoForge/Forge install, Java version, JVM tuning, firewall, LAN config, backups, and launch scripts."
pokemon-player,/home/laia/.hermes/skills/gaming/pokemon-player/SKILL.md,yes,yes,8.6,2026-03-31T23:53:28+02:00,backend,gaming,"Play Pokemon games autonomously via headless emulation. Starts a game server, reads structured game state from RAM, makes strategic decisions, and sends button inputs — all from the terminal."
codebase-inspection,/home/laia/.hermes/skills/github/codebase-inspection/SKILL.md,yes,yes,3.7,2026-03-31T23:53:28+02:00,backend,github,"Inspect and analyze codebases using pygount for LOC counting, language breakdown, and code-vs-comment ratios. Use when asked to check lines of code, repo size, language composition, or codebase stats."
github-auth,/home/laia/.hermes/skills/github/github-auth/SKILL.md,yes,yes,13.7,2026-05-06T17:53:46+02:00,backend,github,"Set up GitHub authentication for the agent using git (universally available) or the gh CLI. Covers HTTPS tokens, SSH keys, credential helpers, and gh auth — with a detection flow to pick the right method automatically."
github-code-review,/home/laia/.hermes/skills/github/github-code-review/SKILL.md,yes,yes,15.7,2026-03-31T23:53:28+02:00,backend,github,"Review code changes by analyzing git diffs, leaving inline comments on PRs, and performing thorough pre-push review. Works with gh CLI or falls back to git + GitHub REST API via curl."
github-issues,/home/laia/.hermes/skills/github/github-issues/SKILL.md,yes,yes,10.2,2026-03-31T23:53:28+02:00,backend,github,"Create, manage, triage, and close GitHub issues. Search existing issues, add labels, assign people, and link to PRs. Works with gh CLI or falls back to git + GitHub REST API via curl."
github-pr-workflow,/home/laia/.hermes/skills/github/github-pr-workflow/SKILL.md,yes,yes,18.0,2026-03-31T23:53:28+02:00,backend,github,"Full pull request lifecycle — create branches, commit changes, open PRs, monitor CI status, auto-fix failures, and merge. Works with gh CLI or falls back to git + GitHub REST API via curl."
github-repo-management,/home/laia/.hermes/skills/github/github-repo-management/SKILL.md,yes,yes,20.0,2026-06-09T18:19:17+02:00,backend,github,"Clone, create, fork, configure, and manage GitHub repositories. Manage remotes, secrets, releases, and workflows. Works with gh CLI or falls back to git + GitHub REST API via curl."
gguf-quantization,/home/laia/.hermes/skills/mlops/inference/gguf/SKILL.md,yes,yes,29.4,2026-03-31T23:53:28+02:00,frontend,inference,"GGUF format and llama.cpp quantization for efficient CPU/GPU inference. Use when deploying models on consumer hardware, Apple Silicon, or when needing flexible quantization from 2-8 bit without GPU requirements."
guidance,/home/laia/.hermes/skills/mlops/inference/guidance/SKILL.md,yes,yes,61.0,2026-03-31T23:53:28+02:00,frontend,inference,"Control LLM output with regex and grammars, guarantee valid JSON/XML/code generation, enforce structured formats, and build multi-step workflows with Guidance - Microsoft Research's constrained generation framework"
llama-cpp,/home/laia/.hermes/skills/mlops/inference/llama-cpp/SKILL.md,yes,yes,14.5,2026-03-31T23:53:28+02:00,backend,inference,"Runs LLM inference on CPU, Apple Silicon, and consumer GPUs without NVIDIA hardware. Use for edge deployment, M1/M2/M3 Macs, AMD/Intel GPUs, or when CUDA is unavailable. Supports GGUF quantization (1.5-8 bit) for reduced memory and 4-10× speedup vs PyTorch on CPU."
obliteratus,/home/laia/.hermes/skills/mlops/inference/obliteratus/SKILL.md,yes,yes,31.4,2026-03-31T23:53:28+02:00,backend,inference,"Remove refusal behaviors from open-weight LLMs using OBLITERATUS — mechanistic interpretability techniques (diff-in-means, SVD, whitened SVD, LEACE, SAE decomposition, etc.) to excise guardrails while preserving reasoning. 9 CLI methods, 28 analysis modules, 116 model presets across 5 compute tiers, tournament evaluation, and telemetry-driven recommendations. Use when a user wants to uncensor, abliterate, or remove refusal from an LLM."
outlines,/home/laia/.hermes/skills/mlops/inference/outlines/SKILL.md,yes,yes,65.0,2026-03-31T23:53:28+02:00,service,inference,"Guarantee valid JSON/XML/code structure during generation, use Pydantic models for type-safe outputs, support local models (Transformers, vLLM), and maximize inference speed with Outlines - dottxt.ai's structured generation library"
serving-llms-vllm,/home/laia/.hermes/skills/mlops/inference/vllm/SKILL.md,yes,yes,35.0,2026-03-31T23:53:28+02:00,backend,inference,"Serves LLMs with high throughput using vLLM's PagedAttention and continuous batching. Use when deploying production LLM APIs, optimizing inference latency/throughput, or serving models with limited GPU memory. Supports OpenAI-compatible endpoints, quantization (GPTQ/AWQ/FP8), and tensor parallelism."
find-nearby,/home/laia/.hermes/skills/leisure/find-nearby/SKILL.md,yes,yes,9.7,2026-03-31T23:53:28+02:00,backend,leisure,"Find nearby places (restaurants, cafes, bars, pharmacies, etc.) using OpenStreetMap. Works with coordinates, addresses, cities, zip codes, or Telegram location pins. No API keys needed."
mcporter,/home/laia/.hermes/skills/mcp/mcporter/SKILL.md,yes,yes,3.1,2026-03-31T23:53:28+02:00,backend,mcp,"Use the mcporter CLI to list, configure, auth, and call MCP servers/tools directly (HTTP or stdio), including ad-hoc servers, config edits, and CLI/type generation."
native-mcp,/home/laia/.hermes/skills/mcp/native-mcp/SKILL.md,yes,yes,12.2,2026-03-31T23:53:28+02:00,backend,mcp,"Built-in MCP (Model Context Protocol) client that connects to external MCP servers, discovers their tools, and registers them as native Hermes Agent tools. Supports stdio and HTTP transports with automatic reconnection, security filtering, and zero-config tool injection."
gif-search,/home/laia/.hermes/skills/media/gif-search/SKILL.md,yes,yes,2.6,2026-03-31T23:53:28+02:00,frontend,media,"Search and download GIFs from Tenor using curl. No dependencies beyond curl and jq. Useful for finding reaction GIFs, creating visual content, and sending GIFs in chat."
heartmula,/home/laia/.hermes/skills/media/heartmula/SKILL.md,yes,yes,6.3,2026-03-31T23:53:28+02:00,frontend,media,"Set up and run HeartMuLa, the open-source music generation model family (Suno-like). Generates full songs from lyrics + tags with multilingual support."
songsee,/home/laia/.hermes/skills/media/songsee/SKILL.md,yes,yes,2.4,2026-03-31T23:53:28+02:00,frontend,media,"Generate spectrograms and audio feature visualizations (mel, chroma, MFCC, tempogram, etc.) from audio files via CLI. Useful for audio analysis, music production debugging, and visual documentation."
youtube-content,/home/laia/.hermes/skills/media/youtube-content/SKILL.md,yes,yes,7.4,2026-03-31T23:53:28+02:00,frontend,media,"Fetch YouTube video transcripts and transform them into structured content (chapters, summaries, threads, blog posts)."
huggingface-hub,/home/laia/.hermes/skills/mlops/huggingface-hub/SKILL.md,yes,yes,3.7,2026-03-31T23:53:28+02:00,backend,mlops,"Hugging Face Hub CLI (hf) — search, download, and upload models and datasets, manage repos, query datasets with SQL, deploy inference endpoints, manage Spaces and buckets."
audiocraft-audio-generation,/home/laia/.hermes/skills/mlops/models/audiocraft/SKILL.md,yes,yes,43.7,2026-03-31T23:53:28+02:00,frontend,models,"PyTorch library for audio generation including text-to-music (MusicGen) and text-to-sound (AudioGen). Use when you need to generate music from text descriptions, create sound effects, or perform melody-conditioned music generation."
clip,/home/laia/.hermes/skills/mlops/models/clip/SKILL.md,yes,yes,12.0,2026-03-31T23:53:28+02:00,frontend,models,"OpenAI's model connecting vision and language. Enables zero-shot image classification, image-text matching, and cross-modal retrieval. Trained on 400M image-text pairs. Use for image search, content moderation, or vision-language tasks without fine-tuning. Best for general-purpose image understanding."
segment-anything-model,/home/laia/.hermes/skills/mlops/models/segment-anything/SKILL.md,yes,yes,40.2,2026-03-31T23:53:28+02:00,frontend,models,"Foundation model for image segmentation with zero-shot transfer. Use when you need to segment any object in images using points, boxes, or masks as prompts, or automatically generate all object masks in an image."
stable-diffusion-image-generation,/home/laia/.hermes/skills/mlops/models/stable-diffusion/SKILL.md,yes,yes,42.1,2026-03-31T23:53:28+02:00,frontend,models,"State-of-the-art text-to-image generation with Stable Diffusion models via HuggingFace Diffusers. Use when generating images from text prompts, performing image-to-image translation, inpainting, or building custom diffusion pipelines."
whisper,/home/laia/.hermes/skills/mlops/models/whisper/SKILL.md,yes,yes,12.0,2026-03-31T23:53:28+02:00,backend,models,"OpenAI's general-purpose speech recognition model. Supports 99 languages, transcription, translation to English, and language identification. Six model sizes from tiny (39M params) to large (1550M params). Use for speech-to-text, podcast transcription, or multilingual audio processing. Best for robust, multilingual ASR."
obsidian,/home/laia/.hermes/skills/note-taking/obsidian/SKILL.md,yes,yes,1.2,2026-03-31T23:53:28+02:00,backend,note-taking,"Read, search, and create notes in the Obsidian vault."
gridcodear-documentos,/home/laia/.hermes/skills/pdf-builder/gridcodear-documentos/SKILL.md,yes,yes,8.9,2026-06-10T00:26:35+02:00,frontend,pdf-builder,|
html-template-pdf-service,/home/laia/.hermes/skills/pdf-builder/html-template-pdf-service/SKILL.md,yes,yes,9.3,2026-06-09T21:26:24+02:00,frontend,pdf-builder,"Servicio operativo para convertir templates HTML/Jinja2 en PDFs de forma reproducible, usando el rail existente de pdf-builder y sus templates/preview/upload."
adb-linkedin-mobile-check,/home/laia/.hermes/skills/productivity/adb-linkedin-mobile-check/SKILL.md,yes,yes,13.1,2026-05-15T20:37:37+02:00,backend,productivity,"Verificación manual (no cron) de conectividad a LinkedIn desde Android vía ADB, con script reutilizable y validación de foco."
anydesk-linux-stabilization,/home/laia/.hermes/skills/productivity/anydesk-linux-stabilization/SKILL.md,yes,yes,3.3,2026-05-15T22:46:36+02:00,frontend,productivity,Diagnóstico y estabilización de AnyDesk en Linux cuando el servicio está online pero la interfaz (frontend/tray) falla o crashea.
calendar-meet-host-gridcode,/home/laia/.hermes/skills/productivity/calendar-meet-host-gridcode/SKILL.md,yes,yes,6.0,2026-06-01T21:08:54+02:00,frontend,productivity,"Crear reuniones Google Meet con zona horaria base correcta (CET/CEST), envío dinámico por zona local del receptor, RSVP activo, y respuesta en hilo por email con resumen y tópicos."
colonial-charger-analysis-execution,/home/laia/.hermes/skills/productivity/colonial-charger-analysis-execution/SKILL.md,yes,yes,27.9,2026-05-22T12:50:26+02:00,backend,productivity,"Ejecuciones de análisis técnico sobre cargadores una vez establecida conectividad (laboratorio o VPN cliente), con enfoque seguro y repetible."
colonial-sla-rail-architecture,/home/laia/.hermes/skills/productivity/colonial-sla-rail-architecture/SKILL.md,yes,yes,1.9,2026-05-07T12:48:50+02:00,frontend,productivity,"Estructurar operación SLA Colonial en 3 grupos con rail híbrido Python, reportes invariantes y decisión remoto->onsite"
colonial-vpn-bridge-rigid,/home/laia/.hermes/skills/productivity/colonial-vpn-bridge-rigid/SKILL.md,yes,yes,16.9,2026-05-26T23:36:06+02:00,backend,productivity,"Puente VPN Colonial rígido para habilitar skills Webasto (endpoint, logs, análisis) con autenticación dinámica OTP."
colonial-vpn-charger-access,/home/laia/.hermes/skills/productivity/colonial-vpn-charger-access/SKILL.md,yes,yes,10.3,2026-05-26T20:45:08+02:00,backend,productivity,Conexión operativa a VPN Colonial (Saiwall/OpenVPN + MFA) y validación de acceso web a cargadores por IP interna.
colonial-vpn-rigid-runner,/home/laia/.hermes/skills/productivity/colonial-vpn-rigid-runner/SKILL.md,yes,yes,5.0,2026-05-26T20:16:09+02:00,backend,productivity,Protocolo rígido para conexión VPN Colonial con OpenVPN3 y validación determinista de estado.
core-skill-hardening-mail-drive,/home/laia/.hermes/skills/productivity/core-skill-hardening-mail-drive/SKILL.md,yes,yes,4.0,2026-06-08T11:46:07+02:00,frontend,productivity,"Harden core Mail/Drive skills by separating backends, adding deterministic scripts, explicit I/O contracts, and removing Gmail/HIMALAYA ambiguity."
cpms-create-ac-single-phase-charger,/home/laia/.hermes/skills/productivity/cpms-create-ac-single-phase-charger/SKILL.md,yes,yes,0.4,2026-05-22T19:26:57+02:00,backend,productivity,Alta de cargador AC monofásico en CPMS por Python.
cpms-full-production-run,/home/laia/.hermes/skills/productivity/cpms-full-production-run/SKILL.md,yes,yes,0.4,2026-05-22T19:26:41+02:00,backend,productivity,Runner productivo CPMS para alta de cargador y lectura de endpoint OCPP.
cpms-login-check,/home/laia/.hermes/skills/productivity/cpms-login-check/SKILL.md,yes,yes,0.3,2026-05-22T19:26:42+02:00,backend,productivity,Check determinista de acceso a CPMS antes de cambios.
cpms-read-ocpp-endpoint,/home/laia/.hermes/skills/productivity/cpms-read-ocpp-endpoint/SKILL.md,yes,yes,0.3,2026-05-22T19:26:58+02:00,backend,productivity,Obtiene endpoint OCPP desde CPMS (Connection Settings).
daily-context-restart-index,/home/laia/.hermes/skills/productivity/daily-context-restart-index/SKILL.md,yes,yes,2.0,2026-05-03T12:42:08+02:00,service,productivity,"Mantener un índice diario de contexto por temas/hitos para retomar conversaciones tras reset, con menú navegable y enlaces por tópico."
daily-reboot-health-check-report,/home/laia/.hermes/skills/productivity/daily-reboot-health-check-report/SKILL.md,yes,yes,4.6,2026-05-30T05:40:44+02:00,frontend,productivity,"Reporte visual simple pre/post reboot en 6 líneas, orientado a usuario (sin tecnicismos internos)"
gc-drive-mirror-governance-prod,/home/laia/.hermes/skills/productivity/gc-drive-mirror-governance-prod/SKILL.md,yes,yes,11.4,2026-06-02T20:41:44+02:00,service,productivity,"Orquestación productiva y rígida para gobernanza del espejo GC NUEVA ORGANIZACIÓN TEST (cloud-first, proyecto-céntrico, dry-run gate obligatorio, dashboard simple)."
Google Meet Capture & Transcript,/home/laia/.hermes/skills/productivity/google-meet-capture/SKILL.md,yes,yes,4.8,2026-04-02T00:17:37+02:00,frontend,productivity,Captura automática de subtítulos y transcripción en tiempo real de Google Meet usando JavaScript injection
google-drive-api-capability-probe-rigid,/home/laia/.hermes/skills/productivity/google-drive-api-capability-probe-rigid/SKILL.md,yes,yes,1.6,2026-05-27T20:08:50+02:00,backend,productivity,"Elevar scopes de Google Drive a escritura, reautorizar OAuth y validar capacidades reales API en Shared Drive (leer/buscar/crear/mover/eliminar/permisos) con límites de herencia."
google-workspace,/home/laia/.hermes/skills/productivity/google-workspace/SKILL.md,yes,yes,80.0,2026-06-09T22:42:09+02:00,backend,productivity,Drive/Calendar/Docs/Sheets/Tasks por Google API. No incluye correo: el mail va por IMAP/SMTP DreamHost.
google-workspace-scheduled-email,/home/laia/.hermes/skills/productivity/google-workspace-scheduled-email/SKILL.md,yes,yes,7.9,2026-06-08T11:44:04+02:00,service,productivity,Programar envío de emails por fecha y hora usando el rail IMAP/SMTP local + cronjob en Hermes.
gridcode-aggregated-behavior-remote-analysis,/home/laia/.hermes/skills/productivity/gridcode-aggregated-behavior-remote-analysis/SKILL.md,yes,yes,22.0,2026-05-26T16:34:48+02:00,service,productivity,"Skill previa al onsite físico. Ejecuta análisis remoto de comportamientos agregados por cargador, clasifica criticidad y define si se resuelve remoto o se escala a visita técnica."
gridcode-drive-api-first-governance,/home/laia/.hermes/skills/productivity/gridcode-drive-api-first-governance/SKILL.md,yes,yes,39.7,2026-06-02T21:02:44+02:00,service,productivity,"API-first governance for Grid Code shared drives using Google indexing (no local reindex), with safe non-delete reorganization and TEST-drive bootstrap from JSON contract."
gridcode-email-master-rail,/home/laia/.hermes/skills/productivity/gridcode-email-master-rail/SKILL.md,yes,yes,3.7,2026-06-10T14:16:43+02:00,service,productivity,"Skill maestra de correo Grid Code: unifica revisión proactiva, autorización por dominio, triage y respuesta operativa en un solo rail con modos internos."
gridcode-email-p1p2-learning-rail,/home/laia/.hermes/skills/productivity/gridcode-email-p1p2-learning-rail/SKILL.md,yes,yes,5.2,2026-05-07T12:07:26+02:00,service,productivity,"Implementar y mantener el rail de emails P1/P2 en gridcode-protocol-hub: priorización por destinatario, aprendizaje persistente, SLA, snapshot semanal y orquestación proactiva con tareas."
gridcode-email-priority-layers,/home/laia/.hermes/skills/productivity/gridcode-email-priority-layers/SKILL.md,yes,yes,2.4,2026-05-07T09:59:01+02:00,service,productivity,|
gridcode-email-rail-hybrid,/home/laia/.hermes/skills/productivity/gridcode-email-rail-hybrid/SKILL.md,yes,yes,5.0,2026-05-07T13:13:10+02:00,service,productivity,Arquitectura híbrida estricta para gestión de emails Grid Code con rail Python
gridcode-email-rail-imap-smtp-local-sync,/home/laia/.hermes/skills/productivity/gridcode-email-rail-imap-smtp-local-sync/SKILL.md,yes,yes,3.3,2026-06-08T11:00:05+02:00,service,productivity,"Core A de mail Grid Code por IMAP/SMTP, con sync local incremental, indexación y Drive bridge."
gridcode-email-rail-separation,/home/laia/.hermes/skills/productivity/gridcode-email-rail-separation/SKILL.md,yes,yes,3.8,2026-06-08T11:00:22+02:00,service,productivity,Separar Google (Drive/Calendar) del correo IMAP/SMTP en Clase A/Core para evitar cruces de identidad OAuth.
gridcode-email-two-layer-priority-rail,/home/laia/.hermes/skills/productivity/gridcode-email-two-layer-priority-rail/SKILL.md,yes,yes,3.9,2026-05-07T11:57:24+02:00,service,productivity,|
gridcode-google-account-governance,/home/laia/.hermes/skills/productivity/gridcode-google-account-governance/SKILL.md,yes,yes,3.5,2026-05-27T18:58:56+02:00,service,productivity,"Gobierno operativo de cuentas Google (Connect vs Laia) para Drive/Calendar/Meet con validación de identidad, permisos de Shared Drive y criterio de promoción (dibujo vs producción)."
gridcode-mail-rail-autonomous,/home/laia/.hermes/skills/productivity/gridcode-mail-rail-autonomous/SKILL.md,yes,yes,12.3,2026-06-08T11:00:32+02:00,backend,productivity,Clase A/Core de mail Grid Code por IMAP/SMTP + sync Drive + clasificación + ejecución controlada.
gridcode-preliminary-analysis-report,/home/laia/.hermes/skills/productivity/gridcode-preliminary-analysis-report/SKILL.md,yes,yes,16.0,2026-06-09T18:40:08+02:00,frontend,productivity,"Estándar para crear y entregar informes de valoración preliminar del Departamento de Desarrollo de Grid Code en A4 una página, estilo profesional y liviano."
gridcode-preliminary-report-a4-lite,/home/laia/.hermes/skills/productivity/gridcode-preliminary-report-a4-lite/SKILL.md,yes,yes,2.5,2026-05-04T12:08:04+02:00,frontend,productivity,"Crear rápidamente un PDF A4 de Informe de Valoración Preliminar (estilo futurista Grid Code) en una sola página, liviano y editable en texto posterior."
gridcode-proactive-email-strict-review,/home/laia/.hermes/skills/productivity/gridcode-proactive-email-strict-review/SKILL.md,yes,yes,17.8,2026-06-08T11:44:04+02:00,backend,productivity,Revisión proactiva de mail por IMAP/SMTP para laia@grid-code.tech con filtro P1/P2.
gridcode-rigid-skill-factory-bootstrap,/home/laia/.hermes/skills/productivity/gridcode-rigid-skill-factory-bootstrap/SKILL.md,yes,yes,6.9,2026-05-26T15:44:14+02:00,backend,productivity,"Crear y publicar un repositorio de skills productivos rígidos (Python-backed) para Webasto/NUBA/CPMS, con anti-carryover, contratos JSON y validación CI."
gridcode-skill-audit-canonicalization,/home/laia/.hermes/skills/productivity/gridcode-skill-audit-canonicalization/SKILL.md,yes,yes,12.1,2026-06-09T11:56:36+02:00,service,productivity,"Audits a skill catalog or capability map, deduplicates overlapping intentions, and converges variants into a single canonical route with helpers, aliases, and standardized outputs."
gridcode-technical-service-report-pdf,/home/laia/.hermes/skills/productivity/gridcode-technical-service-report-pdf/SKILL.md,yes,yes,5.8,2026-05-02T22:04:40+02:00,frontend,productivity,"Genera reportes PDF de servicios técnicos Grid Code con diseño validado (base v30), campos editables, choices desplegables y variantes visuales finales."
group-cpms-family,/home/laia/.hermes/skills/productivity/group-cpms-family/SKILL.md,yes,yes,1.1,2026-05-23T00:18:16+02:00,backend,productivity,"Grupo maestro CPMS (EVA, SACIEVA, PLUS, WINGS) sobre backend común. Subsume skills de login, alta y lectura OCPP."
group-nuba-cloud,/home/laia/.hermes/skills/productivity/group-nuba-cloud/SKILL.md,yes,yes,1.0,2026-05-23T00:18:17+02:00,backend,productivity,"Grupo maestro NUBA cloud. Subsume skills de login, corrida administrativa y generación de activation code PLUS."
group-webasto-unite,/home/laia/.hermes/skills/productivity/group-webasto-unite/SKILL.md,yes,yes,1.3,2026-05-23T00:18:27+02:00,backend,productivity,"Grupo maestro del dominio Cargador Webasto Unite. Subsume skills operativas de endpoint OCPP, persistencia y corrida completa."
Laia Active Listening for Google Meet,/home/laia/.hermes/skills/productivity/laia-active-listening-meet/SKILL.md,yes,yes,22.8,2026-04-02T00:37:03+02:00,frontend,productivity,"Sistema de escucha activa en tiempo real para Google Meet - captura pre-render, análisis en vivo, participación por chat sin grabación"
Laia Topic Closure Protocol,/home/laia/.hermes/skills/productivity/laia-topic-closure-protocol/SKILL.md,yes,yes,6.4,2026-04-01T23:54:31+02:00,service,productivity,Protocolo de cierre automático de temas basado en inactividad y detección de cambios de contexto
